full_name,gender,type,state,district,senate_class,party,address,phone,contact_form
Judy Chu,F,rep,CA,27,,Democrat,2423 Rayburn House Office Building Washington DC 20515-0527,202-225-5464,
David N. Cicilline,M,rep,RI,1,,Democrat,2233 Rayburn House Office Building Washington DC 20515-3901,202-225-4911,
Yvette D. Clarke,F,rep,NY,9,,Democrat,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231,
Wm. Lacy Clay,M,rep,MO,1,,Democrat,2428 Rayburn House Office Building Washington DC 20515-2501,202-225-2406,
Emanuel Cleaver,M,rep,MO,5,,Democrat,2335 Rayburn House Office Building Washington DC 20515-2505,202-225-4535,
James E. Clyburn,M,rep,SC,6,,Democrat,200 Cannon House Office Building Washington DC 20515-4006,202-225-3315,
Steve Cohen,M,rep,TN,9,,Democrat,2104 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,
Tom Cole,M,rep,OK,4,,Republican,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165,
K. Michael Conaway,M,rep,TX,11,,Republican,2469 Rayburn House Office Building Washington DC 20515-4311,202-225-3605,
Gerald E. Connolly,M,rep,VA,11,,Democrat,2238 Rayburn House Office Building Washington DC 20515-4611,202-225-1492,
Jim Cooper,M,rep,TN,5,,Democrat,1536 Longworth House Office Building Washington DC 20515-4205,202-225-4311,
Jim Costa,M,rep,CA,16,,Democrat,2081 Rayburn House Office Building Washington DC 20515-0516,202-225-3341,
Joe Courtney,M,rep,CT,2,,Democrat,2332 Rayburn House Office Building Washington DC 20515-0702,202-225-2076,
Mike Crapo,M,sen,ID,,3,Republican,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact
"Eric A. ""Rick"" Crawford",M,rep,AR,1,,Republican,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076,
Henry Cuellar,M,rep,TX,28,,Democrat,2372 Rayburn House Office Building Washington DC 20515-4328,202-225-1640,
Danny K. Davis,M,rep,IL,7,,Democrat,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006,
Susan A. Davis,F,rep,CA,53,,Democrat,1214 Longworth House Office Building Washington DC 20515-0553,202-225-2040,
Peter A. DeFazio,M,rep,OR,4,,Democrat,2134 Rayburn House Office Building Washington DC 20515-3704,202-225-6416,
Diana DeGette,F,rep,CO,1,,Democrat,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431,
Rosa L. DeLauro,F,rep,CT,3,,Democrat,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661,
Scott DesJarlais,M,rep,TN,4,,Republican,2301 Rayburn House Office Building Washington DC 20515-4204,202-225-6831,
Theodore E. Deutch,M,rep,FL,22,,Democrat,2447 Rayburn House Office Building Washington DC 20515-0922,202-225-3001,
Mario Diaz-Balart,M,rep,FL,25,,Republican,404 Cannon House Office Building Washington DC 20515-0925,202-225-4211,
Lloyd Doggett,M,rep,TX,35,,Democrat,2307 Rayburn House Office Building Washington DC 20515-4335,202-225-4865,
Michael F. Doyle,M,rep,PA,18,,Democrat,306 Cannon House Office Building Washington DC 20515-3818,202-225-2135,
Jeff Duncan,M,rep,SC,3,,Republican,2229 Rayburn House Office Building Washington DC 20515-4003,202-225-5301,
Eliot L. Engel,M,rep,NY,16,,Democrat,2426 Rayburn House Office Building Washington DC 20515-3216,202-225-2464,
Anna G. Eshoo,F,rep,CA,18,,Democrat,202 Cannon House Office Building Washington DC 20515-0518,202-225-8104,
"Charles J. ""Chuck"" Fleischmann",M,rep,TN,3,,Republican,2410 Rayburn House Office Building Washington DC 20515-4203,202-225-3271,
Bill Flores,M,rep,TX,17,,Republican,2228 Rayburn House Office Building Washington DC 20515-4317,202-225-6105,
Jeff Fortenberry,M,rep,NE,1,,Republican,1514 Longworth House Office Building Washington DC 20515-2701,202-225-4806,
Virginia Foxx,F,rep,NC,5,,Republican,2462 Rayburn House Office Building Washington DC 20515-3305,202-225-2071,
Marcia L. Fudge,F,rep,OH,11,,Democrat,2344 Rayburn House Office Building Washington DC 20515-3511,202-225-7032,
John Garamendi,M,rep,CA,3,,Democrat,2368 Rayburn House Office Building Washington DC 20515-0503,202-225-1880,
Cory Gardner,M,sen,CO,,2,Republican,354 Russell Senate Office Building Washington DC 20510,202-224-5941,https://www.gardner.senate.gov/contact-cory/email-cory
Bob Gibbs,M,rep,OH,7,,Republican,2446 Rayburn House Office Building Washington DC 20515-3507,202-225-6265,
Louie Gohmert,M,rep,TX,1,,Republican,2267 Rayburn House Office Building Washington DC 20515-4301,202-225-3035,
Paul A. Gosar,M,rep,AZ,4,,Republican,2057 Rayburn House Office Building Washington DC 20515-0304,202-225-2315,
Kay Granger,F,rep,TX,12,,Republican,1026 Longworth House Office Building Washington DC 20515-4312,202-225-5071,
Chuck Grassley,M,sen,IA,,3,Republican,135 Hart Senate Office Building Washington DC 20510,202-224-3744,http://www.grassley.senate.gov/contact
Sam Graves,M,rep,MO,6,,Republican,1135 Longworth House Office Building Washington DC 20515-2506,202-225-7041,
Al Green,M,rep,TX,9,,Democrat,2347 Rayburn House Office Building Washington DC 20515-4309,202-225-7508,
H. Morgan Griffith,M,rep,VA,9,,Republican,2202 Rayburn House Office Building Washington DC 20515-4609,202-225-3861,
RaÃºl M. Grijalva,M,rep,AZ,3,,Democrat,1511 Longworth House Office Building Washington DC 20515-0303,202-225-2435,
Brett Guthrie,M,rep,KY,2,,Republican,2434 Rayburn House Office Building Washington DC 20515-1702,202-225-3501,
Andy Harris,M,rep,MD,1,,Republican,2334 Rayburn House Office Building Washington DC 20515-2001,202-225-5311,
Vicky Hartzler,F,rep,MO,4,,Republican,2235 Rayburn House Office Building Washington DC 20515-2504,202-225-2876,
Alcee L. Hastings,M,rep,FL,20,,Democrat,2353 Rayburn House Office Building Washington DC 20515-0920,202-225-1313,
Martin Heinrich,M,sen,NM,,1,Democrat,303 Hart Senate Office Building Washington DC 20510,202-224-5521,http://www.heinrich.senate.gov/contact
Jaime Herrera Beutler,F,rep,WA,3,,Republican,2352 Rayburn House Office Building Washington DC 20515-4703,202-225-3536,
Brian Higgins,M,rep,NY,26,,Democrat,2459 Rayburn House Office Building Washington DC 20515-3226,202-225-3306,
James A. Himes,M,rep,CT,4,,Democrat,1227 Longworth House Office Building Washington DC 20515-0704,202-225-5541,
Mazie K. Hirono,F,sen,HI,,1,Democrat,713 Hart Senate Office Building Washington DC 20510,202-224-6361,https://www.hirono.senate.gov/contact
John Hoeven,M,sen,ND,,3,Republican,338 Russell Senate Office Building Washington DC 20510,202-224-2551,http://www.hoeven.senate.gov/public/index.cfm/email-the-senator
Steny H. Hoyer,M,rep,MD,5,,Democrat,1705 Longworth House Office Building Washington DC 20515-2005,202-225-4131,
Bill Huizenga,M,rep,MI,2,,Republican,2232 Rayburn House Office Building Washington DC 20515-2202,202-225-4401,
Sheila Jackson Lee,F,rep,TX,18,,Democrat,2079 Rayburn House Office Building Washington DC 20515-4318,202-225-3816,
Bill Johnson,M,rep,OH,6,,Republican,2336 Rayburn House Office Building Washington DC 20515-3506,202-225-5705,
Eddie Bernice Johnson,F,rep,TX,30,,Democrat,2306 Rayburn House Office Building Washington DC 20515-4330,202-225-8885,
"Henry C. ""Hank"" Johnson, Jr.",M,rep,GA,4,,Democrat,2240 Rayburn House Office Building Washington DC 20515-1004,202-225-1605,
Ron Johnson,M,sen,WI,,3,Republican,328 Hart Senate Office Building Washington DC 20510,202-224-5323,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator
Jim Jordan,M,rep,OH,4,,Republican,2056 Rayburn House Office Building Washington DC 20515-3504,202-225-2676,
Marcy Kaptur,F,rep,OH,9,,Democrat,2186 Rayburn House Office Building Washington DC 20515-3509,202-225-4146,
William R. Keating,M,rep,MA,9,,Democrat,2351 Rayburn House Office Building Washington DC 20515-2109,202-225-3111,
Mike Kelly,M,rep,PA,16,,Republican,1707 Longworth House Office Building Washington DC 20515-3816,202-225-5406,
Ron Kind,M,rep,WI,3,,Democrat,1502 Longworth House Office Building Washington DC 20515-4903,202-225-5506,
Peter T. King,M,rep,NY,2,,Republican,302 Cannon House Office Building Washington DC 20515-3202,202-225-7896,
Steve King,M,rep,IA,4,,Republican,2210 Rayburn House Office Building Washington DC 20515-1504,202-225-4426,
Adam Kinzinger,M,rep,IL,16,,Republican,2245 Rayburn House Office Building Washington DC 20515-1316,202-225-3635,
Doug Lamborn,M,rep,CO,5,,Republican,2371 Rayburn House Office Building Washington DC 20515-0605,202-225-4422,
James R. Langevin,M,rep,RI,2,,Democrat,2077 Rayburn House Office Building Washington DC 20515-3902,202-225-2735,
James Lankford,M,sen,OK,,3,Republican,316 Hart Senate Office Building Washington DC 20510,202-224-5754,http://www.lankford.senate.gov/contact/email
Rick Larsen,M,rep,WA,2,,Democrat,2113 Rayburn House Office Building Washington DC 20515-4702,202-225-2605,
John B. Larson,M,rep,CT,1,,Democrat,1501 Longworth House Office Building Washington DC 20515-0701,202-225-2265,
Robert E. Latta,M,rep,OH,5,,Republican,2467 Rayburn House Office Building Washington DC 20515-3505,202-225-6405,
Patrick J. Leahy,M,sen,VT,,3,Democrat,437 Russell Senate Office Building Washington DC 20510,202-224-4242,https://www.leahy.senate.gov/contact/
Barbara Lee,F,rep,CA,13,,Democrat,2470 Rayburn House Office Building Washington DC 20515-0513,202-225-2661,
Mike Lee,M,sen,UT,,3,Republican,361A Russell Senate Office Building Washington DC 20510,202-224-5444,https://www.lee.senate.gov/public/index.cfm/contact
Daniel Lipinski,M,rep,IL,3,,Democrat,2346 Rayburn House Office Building Washington DC 20515-1303,202-225-5701,
David Loebsack,M,rep,IA,2,,Democrat,1211 Longworth House Office Building Washington DC 20515-1502,202-225-6576,
Zoe Lofgren,F,rep,CA,19,,Democrat,1401 Longworth House Office Building Washington DC 20515-0519,202-225-3072,
Billy Long,M,rep,MO,7,,Republican,2454 Rayburn House Office Building Washington DC 20515-2507,202-225-6536,
Nita M. Lowey,F,rep,NY,17,,Democrat,2365 Rayburn House Office Building Washington DC 20515-3217,202-225-6506,
Frank D. Lucas,M,rep,OK,3,,Republican,2405 Rayburn House Office Building Washington DC 20515-3603,202-225-5565,
Blaine Luetkemeyer,M,rep,MO,3,,Republican,2230 Rayburn House Office Building Washington DC 20515-2503,202-225-2956,
Ben Ray LujÃ¡n,M,rep,NM,3,,Democrat,2323 Rayburn House Office Building Washington DC 20515-3103,202-225-6190,
Stephen F. Lynch,M,rep,MA,8,,Democrat,2109 Rayburn House Office Building Washington DC 20515-2108,202-225-8273,
Carolyn B. Maloney,F,rep,NY,12,,Democrat,2308 Rayburn House Office Building Washington DC 20515-3212,202-225-7944,
Kenny Marchant,M,rep,TX,24,,Republican,2304 Rayburn House Office Building Washington DC 20515-4324,202-225-6605,
Edward J. Markey,M,sen,MA,,2,Democrat,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,https://www.markey.senate.gov/contact
Doris O. Matsui,F,rep,CA,6,,Democrat,2311 Rayburn House Office Building Washington DC 20515-0506,202-225-7163,
Kevin McCarthy,M,rep,CA,23,,Republican,2468 Rayburn House Office Building Washington DC 20515-0523,202-225-2915,
Michael T. McCaul,M,rep,TX,10,,Republican,2001 Rayburn House Office Building Washington DC 20515-4310,202-225-2401,
Tom McClintock,M,rep,CA,4,,Republican,2312 Rayburn House Office Building Washington DC 20515-0504,202-225-2511,
Betty McCollum,F,rep,MN,4,,Democrat,2256 Rayburn House Office Building Washington DC 20515-2304,202-225-6631,
James P. McGovern,M,rep,MA,2,,Democrat,408 Cannon House Office Building Washington DC 20515-2102,202-225-6101,
Patrick T. McHenry,M,rep,NC,10,,Republican,2004 Rayburn House Office Building Washington DC 20515-3310,202-225-2576,
David B. McKinley,M,rep,WV,1,,Republican,2239 Rayburn House Office Building Washington DC 20515-4801,202-225-4172,
Cathy McMorris Rodgers,F,rep,WA,5,,Republican,1035 Longworth House Office Building Washington DC 20515-4705,202-225-2006,
Jerry McNerney,M,rep,CA,9,,Democrat,2265 Rayburn House Office Building Washington DC 20515-0509,202-225-1947,
Gregory W. Meeks,M,rep,NY,5,,Democrat,2310 Rayburn House Office Building Washington DC 20515-3205,202-225-3461,
Gwen Moore,F,rep,WI,4,,Democrat,2252 Rayburn House Office Building Washington DC 20515-4904,202-225-4572,
Jerry Moran,M,sen,KS,,3,Republican,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry
Lisa Murkowski,F,sen,AK,,3,Republican,522 Hart Senate Office Building Washington DC 20510,202-224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact
Christopher Murphy,M,sen,CT,,1,Democrat,136 Hart Senate Office Building Washington DC 20510,202-224-4041,http://www.murphy.senate.gov/contact
Patty Murray,F,sen,WA,,3,Democrat,154 Russell Senate Office Building Washington DC 20510,202-224-2621,http://www.murray.senate.gov/public/index.cfm/contactme
Jerrold Nadler,M,rep,NY,10,,Democrat,2132 Rayburn House Office Building Washington DC 20515-3210,202-225-5635,
Grace F. Napolitano,F,rep,CA,32,,Democrat,1610 Longworth House Office Building Washington DC 20515-0532,202-225-5256,
Richard E. Neal,M,rep,MA,1,,Democrat,2309 Rayburn House Office Building Washington DC 20515-2101,202-225-5601,
Eleanor Holmes Norton,F,rep,DC,0,,Democrat,2136 Rayburn House Office Building Washington DC 20515-5101,202-225-8050,
Devin Nunes,M,rep,CA,22,,Republican,1013 Longworth House Office Building Washington DC 20515-0522,202-225-2523,
Pete Olson,M,rep,TX,22,,Republican,2133 Rayburn House Office Building Washington DC 20515-4322,202-225-5951,
Steven M. Palazzo,M,rep,MS,4,,Republican,2349 Rayburn House Office Building Washington DC 20515-2404,202-225-5772,
"Frank Pallone, Jr.",M,rep,NJ,6,,Democrat,2107 Rayburn House Office Building Washington DC 20515-3006,202-225-4671,
"Bill Pascrell, Jr.",M,rep,NJ,9,,Democrat,2409 Rayburn House Office Building Washington DC 20515-3009,202-225-5751,
Rand Paul,M,sen,KY,,3,Republican,167 Russell Senate Office Building Washington DC 20510,202-224-4343,https://www.paul.senate.gov/connect/email-rand
Nancy Pelosi,F,rep,CA,12,,Democrat,1236 Longworth House Office Building Washington DC 20515-0512,202-225-4965,
Ed Perlmutter,M,rep,CO,7,,Democrat,1226 Longworth House Office Building Washington DC 20515-0607,202-225-2645,
Gary C. Peters,M,sen,MI,,2,Democrat,724 Hart Senate Office Building Washington DC 20510,202-224-6221,https://www.peters.senate.gov/contact/email-gary
Collin C. Peterson,M,rep,MN,7,,Democrat,2204 Rayburn House Office Building Washington DC 20515-2307,202-225-2165,
Chellie Pingree,F,rep,ME,1,,Democrat,2162 Rayburn House Office Building Washington DC 20515-1901,202-225-6116,
Rob Portman,M,sen,OH,,3,Republican,448 Russell Senate Office Building Washington DC 20510,202-224-3353,https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form
Bill Posey,M,rep,FL,8,,Republican,2150 Rayburn House Office Building Washington DC 20515-0908,202-225-3671,
David E. Price,M,rep,NC,4,,Democrat,2108 Rayburn House Office Building Washington DC 20515-3304,202-225-1784,
Mike Quigley,M,rep,IL,5,,Democrat,2458 Rayburn House Office Building Washington DC 20515-1305,202-225-4061,
Tom Reed,M,rep,NY,23,,Republican,2263 Rayburn House Office Building Washington DC 20515-3223,202-225-3161,
Cedric L. Richmond,M,rep,LA,2,,Democrat,506 Cannon House Office Building Washington DC 20515-1802,202-225-6636,
Martha Roby,F,rep,AL,2,,Republican,504 Cannon House Office Building Washington DC 20515-0102,202-225-2901,
David P. Roe,M,rep,TN,1,,Republican,102 Cannon House Office Building Washington DC 20515-4201,202-225-6356,
Harold Rogers,M,rep,KY,5,,Republican,2406 Rayburn House Office Building Washington DC 20515-1705,202-225-4601,
Mike Rogers,M,rep,AL,3,,Republican,2184 Rayburn House Office Building Washington DC 20515-0103,202-225-3261,
Lucille Roybal-Allard,F,rep,CA,40,,Democrat,2083 Rayburn House Office Building Washington DC 20515-0540,202-225-1766,
Marco Rubio,M,sen,FL,,3,Republican,284 Russell Senate Office Building Washington DC 20510,202-224-3041,http://www.rubio.senate.gov/public/index.cfm/contact
C. A. Dutch Ruppersberger,M,rep,MD,2,,Democrat,2206 Rayburn House Office Building Washington DC 20515-2002,202-225-3061,
Bobby L. Rush,M,rep,IL,1,,Democrat,2188 Rayburn House Office Building Washington DC 20515-1301,202-225-4372,
Tim Ryan,M,rep,OH,13,,Democrat,1126 Longworth House Office Building Washington DC 20515-3513,202-225-5261,
Gregorio Kilili Camacho Sablan,M,rep,MP,0,,Democrat,2411 Rayburn House Office Building Washington DC 20515-5201,202-225-2646,
John P. Sarbanes,M,rep,MD,3,,Democrat,2370 Rayburn House Office Building Washington DC 20515-2003,202-225-4016,
Steve Scalise,M,rep,LA,1,,Republican,2049 Rayburn House Office Building Washington DC 20515-1801,202-225-3015,
Janice D. Schakowsky,F,rep,IL,9,,Democrat,2367 Rayburn House Office Building Washington DC 20515-1309,202-225-2111,
Adam B. Schiff,M,rep,CA,28,,Democrat,2269 Rayburn House Office Building Washington DC 20515-0528,202-225-4176,
Kurt Schrader,M,rep,OR,5,,Democrat,2431 Rayburn House Office Building Washington DC 20515-3705,202-225-5711,
Charles E. Schumer,M,sen,NY,,3,Democrat,322 Hart Senate Office Building Washington DC 20510,202-224-6542,https://www.schumer.senate.gov/contact/email-chuck
David Schweikert,M,rep,AZ,6,,Republican,1526 Longworth House Office Building Washington DC 20515-0306,202-225-2190,
Austin Scott,M,rep,GA,8,,Republican,2417 Rayburn House Office Building Washington DC 20515-1008,202-225-6531,
David Scott,M,rep,GA,13,,Democrat,225 Cannon House Office Building Washington DC 20515-1013,202-225-2939,
"Robert C. ""Bobby"" Scott",M,rep,VA,3,,Democrat,1201 Longworth House Office Building Washington DC 20515-4603,202-225-8351,
Tim Scott,M,sen,SC,,3,Republican,104 Hart Senate Office Building Washington DC 20510,202-224-6121,https://www.scott.senate.gov/contact/email-me
"F. James Sensenbrenner, Jr.",M,rep,WI,5,,Republican,2449 Rayburn House Office Building Washington DC 20515-4905,202-225-5101,
JosÃ© E. Serrano,M,rep,NY,15,,Democrat,2354 Rayburn House Office Building Washington DC 20515-3215,202-225-4361,
Terri A. Sewell,F,rep,AL,7,,Democrat,2201 Rayburn House Office Building Washington DC 20515-0107,202-225-2665,
Richard C. Shelby,M,sen,AL,,3,Republican,304 Russell Senate Office Building Washington DC 20510,202-224-5744,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby
Brad Sherman,M,rep,CA,30,,Democrat,2181 Rayburn House Office Building Washington DC 20515-0530,202-225-5911,
John Shimkus,M,rep,IL,15,,Republican,2217 Rayburn House Office Building Washington DC 20515-1315,202-225-5271,
Michael K. Simpson,M,rep,ID,2,,Republican,2084 Rayburn House Office Building Washington DC 20515-1202,202-225-5531,
Albio Sires,M,rep,NJ,8,,Democrat,2268 Rayburn House Office Building Washington DC 20515-3008,202-225-7919,
Adam Smith,M,rep,WA,9,,Democrat,2264 Rayburn House Office Building Washington DC 20515-4709,202-225-8901,
Adrian Smith,M,rep,NE,3,,Republican,502 Cannon House Office Building Washington DC 20515-2703,202-225-6435,
Christopher H. Smith,M,rep,NJ,4,,Republican,2373 Rayburn House Office Building Washington DC 20515-3004,202-225-3765,
Jackie Speier,F,rep,CA,14,,Democrat,2465 Rayburn House Office Building Washington DC 20515-0514,202-225-3531,
Steve Stivers,M,rep,OH,15,,Republican,2234 Rayburn House Office Building Washington DC 20515-3515,202-225-2015,
